RegionName,Year,Month,HousePrice
Indiana,2017,3,58169.09719568437
Indiana,2017,4,58323.410588300736
Indiana,2017,5,58454.392537898086
Indiana,2017,6,58637.02620814045
Indiana,2017,7,58978.36354263657
Indiana,2017,8,59501.157813603175
Indiana,2017,9,60149.726338815926
Indiana,2017,10,60804.98082828309
Indiana,2017,11,61463.464420703625
Indiana,2017,12,61983.054753204815
Indiana,2018,1,62391.95178669145
Indiana,2018,2,62750.17850379843
Indiana,2018,3,63256.180721728575
Indiana,2018,4,63789.57029081756
Indiana,2018,5,64379.18077633796
Indiana,2018,6,64808.07037736392
Indiana,2018,7,65320.391928171535
Indiana,2018,8,65712.79566948029
Indiana,2018,9,66156.13580704319
Indiana,2018,10,66431.07662644662
Indiana,2018,11,66891.20268108652
Indiana,2018,12,67347.17221509533
Indiana,2019,1,68384.73035980607
Indiana,2019,2,69757.1549395907
Indiana,2019,3,
Indiana,2019,4,73677.30571920378
Indiana,2019,5,75178.23610704094
Indiana,2019,6,76030.21488267907
Indiana,2019,7,76445.65402154242
Indiana,2019,8,76584.49561524723
Indiana,2019,9,76459.16622266121
Indiana,2019,10,76435.20726075776
Indiana,2019,11,76782.37808955325
Indiana,2019,12,77529.36122713418
Indiana,2020,1,78370.48377902777
Indiana,2020,2,78980.73877656383
Indiana,2020,3,79534.52408614464
Indiana,2020,4,80462.34402563563
Indiana,2020,5,81374.44884823992
Indiana,2020,6,81465.18512591936
Indiana,2020,7,80767.64687609875
Indiana,2020,8,80117.52030934018
Indiana,2020,9,80504.41513384187
Indiana,2020,10,81614.4710261282
Indiana,2020,11,83174.36905132147
Indiana,2020,12,84573.65018698206
Indiana,2021,1,85640.32655335263
Indiana,2021,2,86583.70074160144
Indiana,2021,3,87824.24318102383
Indiana,2021,4,89226.48067654
Indiana,2021,5,90774.3098894185
Indiana,2021,6,92364.67664845676
Indiana,2021,7,93761.02427587152
Indiana,2021,8,94720.76537488369
Indiana,2021,9,95144.73918176322
Indiana,2021,10,95713.98886545752
Indiana,2021,11,96473.81264450408
Indiana,2021,12,97361.92592875416
Indiana,2022,1,98389.97114166716
Indiana,2022,2,99698.82314130606
Indiana,2022,3,101104.76618034382
Indiana,2022,4,102360.91278490332
Indiana,2022,5,103106.80042857675
Indiana,2022,6,103947.18349747424
Indiana,2022,7,104712.31155228436
Indiana,2022,8,105331.34197121556
Indiana,2022,9,105480.5083617672
Indiana,2022,10,105459.77559317449
Indiana,2022,11,105433.08403261744
Indiana,2022,12,105435.34228369262
Indiana,2023,1,105242.45791579963
Indiana,2023,2,105299.08656022786
Indiana,2023,3,105849.83728066296
Indiana,2023,4,107205.72372209447
Indiana,2023,5,108679.10981304113
Indiana,2023,6,109947.4041504574
Indiana,2023,7,110715.83422785874
Indiana,2023,8,111224.91543581864
Indiana,2023,9,111485.69238094012
Indiana,2023,10,111579.71195291461
Indiana,2023,11,111684.8073698858
Iowa,2000,1,55464.803856979124
Iowa,2000,2,55370.41966944269
Iowa,2000,3,55525.27764036664
Iowa,2000,4,55714.7149997533
Iowa,2000,5,56062.126885634076
Iowa,2000,6,56243.22929333276
Iowa,2000,7,56428.655645692685
Iowa,2000,8,56472.73536785256
Iowa,2000,9,56627.96002778844
Iowa,2000,10,57011.35971857518
Iowa,2000,11,57536.252850034245
Iowa,2000,12,58110.54988284463
Iowa,2001,1,58506.685622495774
Iowa,2001,2,58847.73378213107
Iowa,2001,3,59113.1801912318
Iowa,2001,4,59186.94237024994
Iowa,2001,5,59240.62738177519
Iowa,2001,6,59366.6235590416
Iowa,2001,7,59698.138256572325
Iowa,2001,8,60036.70294971674
Iowa,2001,9,60314.851926617914
Iowa,2001,10,60583.52306852867
Iowa,2001,11,60911.901784168695
Iowa,2001,12,61131.77598643384
Iowa,2002,1,61169.52248203293
Iowa,2002,2,61223.38891258164
Iowa,2002,3,61416.21342999847
Iowa,2002,4,61720.28420054209
Iowa,2002,5,62024.871588091344
Iowa,2002,6,62168.888399103525
Iowa,2002,7,62273.36052980169
Iowa,2002,8,62192.59743889682
Iowa,2002,9,61993.240585896325
Iowa,2002,10,61834.45038801528
Iowa,2002,11,61683.13648388822
Iowa,2002,12,61647.82335502291
Iowa,2003,1,61665.61895952624
Iowa,2003,2,61720.56073423127
Iowa,2003,3,61823.92241666885
Iowa,2003,4,61800.80640334155
Iowa,2003,5,61859.20321999688
Iowa,2003,6,61936.113784436544
Iowa,2003,7,62028.87480192037
Iowa,2003,8,62138.81840273201
Iowa,2003,9,62353.7135112942
Iowa,2003,10,62673.973706743796
Iowa,2003,11,63008.97839440218
Iowa,2003,12,63200.05560313499
Iowa,2004,1,63190.553599375555
Iowa,2004,2,63051.27078330928
Iowa,2004,3,63051.56391639307
Iowa,2004,4,63140.801197130146
Iowa,2004,5,63171.77202231621
Iowa,2004,6,63127.65910020956
Iowa,2004,7,63227.54994433122
Iowa,2004,8,63569.260814407644
Iowa,2004,9,63812.505712819
Iowa,2004,10,64042.03498713085
Iowa,2004,11,64106.73881683294
Iowa,2004,12,64370.310627371575
Iowa,2005,1,64419.39948992412
Iowa,2005,2,64476.94674926742
Iowa,2005,3,64211.201616636055
Iowa,2005,4,64154.114952567645
Iowa,2005,5,64070.465643613206
Iowa,2005,6,64137.95904882695
Iowa,2005,7,64217.318354371426
Iowa,2005,8,64392.87654391112
Iowa,2005,9,64435.12558432549
Iowa,2005,10,64351.259802680666
Iowa,2005,11,64227.16156774992
Iowa,2005,12,64177.293648740575
Iowa,2006,1,64159.60667159388
Iowa,2006,2,64219.07401161026
Iowa,2006,3,64337.299279540224
Iowa,2006,4,64446.006075840465
Iowa,2006,5,64772.77760215537
Iowa,2006,6,65102.39844365924
Iowa,2006,7,65422.4959923751
Iowa,2006,8,65464.89040975619
Iowa,2006,9,65567.1806517745
Iowa,2006,10,65741.06977550492
Iowa,2006,11,65956.79490214051
Iowa,2006,12,66115.01956583963
Iowa,2007,1,66171.98182002778
Iowa,2007,2,66114.41800959411
Iowa,2007,3,66098.87676219588
Iowa,2007,4,66149.40908141035
Iowa,2007,5,66292.34792625341
Iowa,2007,6,66400.01428916177
Iowa,2007,7,66440.62348290505
Iowa,2007,8,66452.631115411
Iowa,2007,9,66447.33207475673
Iowa,2007,10,66351.32912092029
Iowa,2007,11,66238.62616888499
Iowa,2007,12,66075.56980893093
Iowa,2008,1,66069.57147412143
Iowa,2008,2,66045.90267657588
Iowa,2008,3,66053.22860025376
Iowa,2008,4,65965.98545794215
Iowa,2008,5,65961.20886078688
Iowa,2008,6,65992.26240379048
Iowa,2008,7,66096.32561796339
Iowa,2008,8,66149.33292110753
Iowa,2008,9,66145.0336533237
Iowa,2008,10,66019.21768132264
Iowa,2008,11,65870.18819058615
Iowa,2008,12,65721.93362390246
Iowa,2009,1,65509.63977599635
Iowa,2009,2,65236.62475441182
Iowa,2009,3,64905.73357905522
Iowa,2009,4,64682.81553973574
Iowa,2009,5,64498.37146730633
Iowa,2009,6,64307.1781244252
Iowa,2009,7,64128.62422247659
Iowa,2009,8,64000.464299508974
Iowa,2009,9,63973.597069373216
Iowa,2009,10,63934.621068190085
Iowa,2009,11,63865.223606839725
Iowa,2009,12,63742.42007411133
Iowa,2010,1,63694.39182702106
Iowa,2010,2,63679.72616311983
Iowa,2010,3,63665.6088368095
Iowa,2010,4,63597.17994713071
Iowa,2010,5,63508.82652465916
Iowa,2010,6,63380.299536150094
Iowa,2010,7,63154.38242577919
Iowa,2010,8,62856.94265691159
Iowa,2010,9,62433.25991477728
Iowa,2010,10,61997.97857474247
Iowa,2010,11,61579.43471783673
Iowa,2010,12,61163.25624618035
Iowa,2011,1,60905.921222764686
Iowa,2011,2,60694.33613702941
Iowa,2011,3,60434.84084401432
Iowa,2011,4,60046.02772628991
Iowa,2011,5,59564.24564157207
Iowa,2011,6,59316.68986372565
Iowa,2011,7,59130.76188986706
Iowa,2011,8,59015.62409627322
Iowa,2011,9,58962.092429160046
Iowa,2011,10,58926.098763346985
Iowa,2011,11,58929.20522937517
Iowa,2011,12,58920.2706167717
Iowa,2012,1,58810.851581801195
Iowa,2012,2,58678.4694079459
Iowa,2012,3,58628.38384219012
Iowa,2012,4,58673.203869854326
Iowa,2012,5,58815.501002701574
Iowa,2012,6,58965.860991892725
Iowa,2012,7,59140.93788745218
Iowa,2012,8,59324.32214795442
Iowa,2012,9,59548.883939994004
Iowa,2012,10,59679.41675768871
Iowa,2012,11,59612.494521339424
Iowa,2012,12,59373.85875360124
Iowa,2013,1,59107.638000486964
Iowa,2013,2,58844.17510123423
Iowa,2013,3,58702.722937601786
Iowa,2013,4,58705.20509945665
Iowa,2013,5,58890.520018760195
Iowa,2013,6,59113.344332151115
Iowa,2013,7,59332.727785135896
